,division,district_code,taluka_code,village_code,village
0,amravati,7,4,270700040068810000,अजितपुर
1,amravati,7,4,270700040070040000,असदपुर
2,amravati,7,4,270700040070290000,अंतरगाव
3,amravati,7,4,270700040068880000,अंबाडा कंडारी
4,amravati,7,4,270700040070280000,अंबुज
5,amravati,7,4,270700040068790000,आरेगाव
6,amravati,7,4,270700040069820000,इसापुर
7,amravati,7,4,270700040069720000,इसेंगाव
8,amravati,7,4,270700040069270000,उपातखेडा
9,amravati,7,4,270700040068540000,एकलासपुर
10,amravati,7,4,270700040069440000,औरंगपूर नजीक टवलार
11,amravati,7,4,270700040068710001,औरंगपूर नजीक परतवाडा
12,amravati,7,4,270700040070260000,कविठा खुर्द
13,amravati,7,4,270700040070250000,कविठा बु.
14,amravati,7,4,270700040069700000,काकडा
15,amravati,7,4,270700040069630000,कामतवाडा
16,amravati,7,4,270700040068440000,काळवीट
17,amravati,7,4,270700040069410000,कासमपुर
18,amravati,7,4,270700040068700000,कांडली
19,amravati,7,4,270700040069610000,कुष्ठा खु.
20,amravati,7,4,270700040069600000,कुष्ठा बु.
21,amravati,7,4,270700040068640000,कुंभी
22,amravati,7,4,270700040069340000,कुंभी वाघोली
23,amravati,7,4,270700040068660000,कोठारा
24,amravati,7,4,270700040069470000,कोपरा
25,amravati,7,4,270700040069840000,कोल्हा
26,amravati,7,4,270700040069310000,खतीजापुर
27,amravati,7,4,270700050070130000,खरपी
28,amravati,7,4,270700040070320000,खानजानबाद
29,amravati,7,4,270700040070310000,खानापुर
30,amravati,7,4,270700040069910000,खानापुर चिचखेडा
31,amravati,7,4,270700040068860000,खानापुर न. भितखेडा
32,amravati,7,4,270700040069010000,खानापुर न. रहिमापुर
33,amravati,7,4,270700040069460000,खांजमानगर
34,amravati,7,4,270700040069160000,खांबोरा
35,amravati,7,4,270700040068730000,खुदानपुर
36,amravati,7,4,270700040070300002,खुशालपुर
37,amravati,7,4,270700040070300001,खुशालपुर
38,amravati,7,4,270700040070370000,खेल गुजर
39,amravati,7,4,270700040070380000,खेल घुमंट
40,amravati,7,4,270700040070360000,खेल टेकाड
41,amravati,7,4,270700040069030000,खेलतपमाळी
42,amravati,7,4,270700040070350000,खेल त्रिंबक नारायण
43,amravati,7,4,270700040068950000,खेलदेवमाळी
44,amravati,7,4,270700040070210000,खेल बगाड
45,amravati,7,4,270700040070330000,खेल बारी
46,amravati,7,4,270700040070340000,खेल बोचा
47,amravati,7,4,270700040070170000,खेल भालेराय
48,amravati,7,4,270700040069900000,खैरी
49,amravati,7,4,270700040069020000,खोजंमपुर
50,amravati,7,4,270700040068840000,खंजीरपुर
51,amravati,7,4,270700040069290000,गोंडवाघोली
52,amravati,7,4,270700040068450000,गोंडविहीर
53,amravati,7,4,270700040068510000,गौरखेडा
54,amravati,7,4,270700040068900000,घोडगाव
55,amravati,7,4,270700040069130000,चमक खु.
56,amravati,7,4,270700040069140000,चमक बु.
57,amravati,7,4,270700040069180000,चाचोंडी
58,amravati,7,4,270700040068590000,चांदुरा जहागीर
59,amravati,7,4,270700040068920000,चिखली
60,amravati,7,4,270700040069200000,चौसाळा
61,amravati,7,4,270700040070100000,जटानपुर
62,amravati,7,4,270700040069370000,जनुना
63,amravati,7,4,270700040068580000,जलालपुर
64,amravati,7,4,270700040069050000,जवर्डी
65,amravati,7,4,270700040069550000,जवळापुर
66,amravati,7,4,270700040070090000,जहानपुर
67,amravati,7,4,270700040069660000,जानोरी
68,amravati,7,4,270700040068770000,जांभळा
69,amravati,7,4,270700040069450000,टवलार
70,amravati,7,4,270700040070000000,टोंगळाबाद
71,amravati,7,4,270700040070240000,तिरमलपुर
72,amravati,7,4,270700040069170000,तुळजापुर जहागिर
73,amravati,7,4,270700040068560000,दर्याबाद
74,amravati,7,4,270700040068610000,दातुरा
75,amravati,7,4,270700040068830000,दारापुर
76,amravati,7,4,270700040068370000,देवगाव
77,amravati,7,4,270700040068970000,देवरी
78,amravati,7,4,270700040069870000,दोनोडा
79,amravati,7,4,270700040070230000,धरमपुर
80,amravati,7,4,270700040068390002,धामणगांव गढी भाग 2
81,amravati,7,4,270700040068390001,धामनगाव गढी भाग-1
82,amravati,7,4,270700040068630000,धोतरखेडा
83,amravati,7,4,270700040069070000,नबापुर
84,amravati,7,4,270700040068520000,नरसरी
85,amravati,7,4,270700040068720000,नरसाळा
86,amravati,7,4,270700040069930000,नरसिंगपुर
87,amravati,7,4,270700040068670000,नागरवाडी
88,amravati,7,4,270700040069120000,नायगाव
89,amravati,7,4,270700040068910000,नारायनपुर
90,amravati,7,4,270700040069100000,निजामपुर
91,amravati,7,4,270700040070030000,निभारी
92,amravati,7,4,270700040068420000,निमकुड
93,amravati,7,4,270700040068500000,निमखेडा
94,amravati,7,4,270700040068570000,निमदरी
95,amravati,7,4,270700040068940000,नौबाग
96,amravati,7,4,270700040069540001,पथ्रोट भाग - 1
97,amravati,7,4,270700040069540002,पथ्रोट भाग -2
98,amravati,7,4,270700040070220000,परतवाडा
99,amravati,7,4,270700040069320000,परसापुर
100,amravati,7,4,270700040069280000,पायविहीर
101,amravati,7,4,270700040069510000,पार्डी
102,amravati,7,4,270700040069430000,पांचबा खुर्द
103,amravati,7,4,270700040069300000,पांचबा बु.
104,amravati,7,4,270700040068480000,पांढरी
105,amravati,7,4,270700040068380000,पिंपळखुटा
106,amravati,7,4,270700040069590000,पोही
107,amravati,7,4,270700040069190000,बळेगांव
108,amravati,7,4,270700040068890000,बागअंबाडा
109,amravati,7,4,270700040070190000,बाजीतपूर
110,amravati,7,4,270700040068430000,बुरडघाट
111,amravati,7,4,270700040070200000,बेगमपुरा
112,amravati,7,4,270700040068750000,बेणी
113,amravati,7,4,270700040068470000,बेलखेडा
114,amravati,7,4,270700040069110000,बोपापुर
115,amravati,7,4,270700040069240000,बोरगाव तळणी
116,amravati,7,4,270700040069220000,बोरगाव दोरी
117,amravati,7,4,270700040069230000,बोरगाव पेठ
118,amravati,7,4,270700040069210000,बोर्डी
119,amravati,7,4,270700040070180000,भांडे-भोंडे
120,amravati,7,4,270700040069480000,भिलोना
121,amravati,7,4,270700040068990000,भीतखेडा
122,amravati,7,4,270700040069080000,भुगांव
123,amravati,7,4,270700040068360000,भोपापुर
124,amravati,7,4,270700040069350000,मलकापुर खुर्द
125,amravati,7,4,270700040068530000,मल्हारा
126,amravati,7,4,270700040070160000,महम्मदपुर
127,amravati,7,4,270700040069730000,मुकिंदपुर
128,amravati,7,4,270700040068740000,मुरादपुर
129,amravati,7,4,270700040069250000,मेघनाथ पुर
130,amravati,7,4,270700040068460000,म्हसोना
131,amravati,7,4,270700040068600000,येणी
132,amravati,7,4,270700040069990000,येलकी
133,amravati,7,4,270700040069800000,येवता
134,amravati,7,4,270700040069970000,येसूर्णा
135,amravati,7,4,270700040069330000,रज्जाकपुर
136,amravati,7,4,270700040070150000,रत्नापुर
137,amravati,7,4,270700040069780000,रवळगाव
138,amravati,7,4,270700040068980000,रहीमापुर
139,amravati,7,4,270700040068680000,राजुरा
140,amravati,7,4,270700040070120000,रामगांव
141,amravati,7,4,270700040069530000,रामापुर खुर्द
142,amravati,7,4,270700040070110000,रामापुर जांभळा
143,amravati,7,4,270700040069520000,रामापुर बु.
144,amravati,7,4,270700040069060000,रामापुर बेलज
145,amravati,7,4,270700040070140000,रायणी
146,amravati,7,4,270700040069360000,रायपुर
147,amravati,7,4,270700040069940000,रायपुर जहागीर
148,amravati,7,4,270700040070130000,रायपुर (वा.)
149,amravati,7,4,270700040068960000,रायपुरा
150,amravati,7,4,270700040069710000,रासेगाव
151,amravati,7,4,270700040069950000,रंगारवासणी
152,amravati,7,4,270700040068410000,वझ्झर
153,amravati,7,4,270700040069960000,वडगांव खुर्द
154,amravati,7,4,270700040068760000,वडगांव फत्तेपुर
155,amravati,7,4,270700040069690000,वडनेर भुजंग
156,amravati,7,4,270700040068650000,वडुरा
157,amravati,7,4,270700040070080000,वलणी खु.
158,amravati,7,4,270700040069500000,वलणी बु.
159,amravati,7,4,270700040069380000,वागडोह
160,amravati,7,4,270700040069770000,वाढोणा जहागीर
161,amravati,7,4,270700040069420000,वाल्मिकपुर
162,amravati,7,4,270700040069750000,वासनि बु.
163,amravati,7,4,270700040069760000,वासनी खु.
164,amravati,7,4,270700040068690000,विठठलपुर
165,amravati,7,4,270700040070070000,विरखेड
166,amravati,7,4,270700040070060000,विरपुर
167,amravati,7,4,270700040070050000,शहापुर (इनामगांव)
168,amravati,7,4,270700040068800000,शहापुर न. वडगाव
169,amravati,7,4,270700040069830000,शामपुर
170,amravati,7,4,270700040069620000,शिंदी बु.
171,amravati,7,4,270700040069040000,शेकापुर
172,amravati,7,4,270700040069790000,शंकरपुर
173,amravati,7,4,270700040070270000,सलाबतपुर
174,amravati,7,4,270700040068490000,सालेपुर
175,amravati,7,4,270700040068850000,सालेबाद
176,amravati,7,4,270700040069860000,सावली खु
177,amravati,7,4,270700040069850000,सावली बु
178,amravati,7,4,270700040070010000,सावळापुर
179,amravati,7,4,270700040068620000,सावळी न. दातुरा
180,amravati,7,4,270700040069880000,सांगवी न. खैरी
181,amravati,7,4,270700040070400000,सांगवी न. निजामपूर
182,amravati,7,4,270700040069150000,सुरवाडा
183,amravati,7,4,270700040068550000,हनवतखेडा
184,amravati,7,4,270700040068820000,हरम
185,amravati,7,4,270700040069890000,हिवरा
